SN	VFG	gi	name	shortDesc	vfDesc	vfID	org	vfclass
23757	VFG043585	57651739	isdA	LPXTG cell wall surface anchor protein	Isd	AI409	Staphylococcus aureus subsp. aureus COL	Adherence & invasion
23758	VFG043498	13272276	atlC	fibronectin binding autolysin	Fibronectin-binding protein	AI250	Staphylococcus caprae	Adherence & invasion
23759	VFG044276	151222293	sfaA__1	hypothetical protein	staphyloferrin A	IA026	Staphylococcus aureus subsp. aureus str. Newman	Iron and heme acquisition
23760	VFG004731	27467922	nuc__6	thermonuclease	Thermonuclease	CVF093	Staphylococcus epidermidis ATCC 12228	Exoenzyme
23761	VFG018630	161508421	cap5F	capsular polysaccharide biosynthesis protein Cap5F	Capsule	CVF110	Staphylococcus aureus subsp. aureus USA300_TCH1516	Host immune evasion
23762	VFG004752	27469321	geh__2	glycerol ester hydrolase	Lipase	CVF091	Staphylococcus epidermidis ATCC 12228	Exoenzyme
23763	VFG005097	70725400	capL__2	hypothetical protein	Capsule	CVF110	Staphylococcus haemolyticus JCSC1435	Host immune evasion
23764	VFG005108	70725401	capM__1	hypothetical protein	Capsule	CVF110	Staphylococcus haemolyticus JCSC1435	Host immune evasion
23765	VFG004741	87161621	hysA__2	Hyaluronate lyase precursor	Hyaluronidase	CVF092	Staphylococcus aureus subsp. aureus USA300_FPR3757	Exoenzyme
23766	VFG004742	82751799	hysA__2	hyaluronate lyase	Hyaluronidase	CVF092	Staphylococcus aureus RF122	Exoenzyme
23767	VFG004744	15927782	hysA__2	hyaluronate lyase precursor	Hyaluronidase	CVF092	Staphylococcus aureus subsp. aureus N315	Exoenzyme
23768	VFG004746	49484422	hysA__2	hyaluronate lyase precursor 2	Hyaluronidase	CVF092	Staphylococcus aureus subsp. aureus MRSA252	Exoenzyme
23769	VFG004581	27468550	sdrH	Ser-Asp rich fibrinogen-binding protein	Ser-Asp rich fibrinogen-binding proteins	CVF102	Staphylococcus epidermidis ATCC 12228	Adherence
23770	VFG004834	82751595	hlb__2	beta-hemolysin	Beta hemolysin	CVF086	Staphylococcus aureus RF122	Toxin
23771	VFG005079	15923149	capK__2	capsular polysaccharide synthesis enzyme Cap5K	Capsule	CVF110	Staphylococcus aureus subsp. aureus Mu50	Host immune evasion
23772	VFG018148	49482523	essB	hypothetical protein	Type VII secretion system	CVF624	Staphylococcus aureus subsp. aureus MRSA252	Secretion system
23773	VFG018142	150392751	essB	hypothetical protein	Type VII secretion system	CVF624	Staphylococcus aureus subsp. aureus JH1	Secretion system
23774	VFG044009	487686	lukS.I	synergohymenotropic toxin	leukocidin (F component: LukF-I; S component: LukS-I)	TX422	Staphylococcus intermedius str. B62	Toxin
23775	VFG004538	49484862	icaD__1	intercellular adhesion protein D	Intercellular adhesin	CVF106	Staphylococcus aureus subsp. aureus MRSA252	Adherence
23776	VFG004533	57865737	icaD__2	intercellular adhesion protein D	Intercellular adhesin	CVF106	Staphylococcus epidermidis RP62A	Adherence
23777	VFG005098	73661380	SSP0071	truncated capsular polysaccharide synthesis protein	Capsule	CVF110	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	Host immune evasion
23778	VFG017243	151221556	ebh__6	cell wall associated fibronectin-binding protein	Cell wall associated fibronectin binding protein	CVF107	Staphylococcus aureus subsp. aureus str. Newman	Adherence
23779	VFG004534	82752245	icaD__1	intercellular adhesion protein D	Intercellular adhesin	CVF106	Staphylococcus aureus RF122	Adherence
23780	VFG044275	151222292	sfaB__1	hypothetical protein	staphyloferrin A	IA026	Staphylococcus aureus subsp. aureus str. Newman	Iron and heme acquisition
23781	VFG005007	15927585	sec	enterotoxin typeC3	Enterotoxin C	TX109	Staphylococcus aureus subsp. aureus N315	Toxin
23782	VFG017101	148268283	splB	peptidase S1 and S6, chymotrypsin/Hap	Serine protease	CVF095	Staphylococcus aureus subsp. aureus JH9	Exoenzyme
23783	VFG017087	148268477	hlb__2	Phospholipase C	Beta hemolysin	CVF086	Staphylococcus aureus subsp. aureus JH9	Toxin
23784	VFG004833	87160283	hlb__2	truncated beta-hemolysin	Beta hemolysin	CVF086	Staphylococcus aureus subsp. aureus USA300_FPR3757	Toxin
23785	VFG004713	49483212	sspC	hypothetical protein	Cysteine protease	CVF094	Staphylococcus aureus subsp. aureus MRSA252	Exoenzyme
23786	VFG004711	15926633	sspC	cysteine protease	Cysteine protease	CVF094	Staphylococcus aureus subsp. aureus N315	Exoenzyme
23787	VFG005593	94992327	hylA__1	Hyaluronate lyase precursor	Hyaluronidase	CVF154	Streptococcus pyogenes MGAS2096	Exoenzyme
23788	VFG005737	28896465	spyA	hypothetical protein	ADP-ribosyltransferase SpyA	CVF169	Streptococcus pyogenes SSI-1	Toxin
23789	VFG005677	19745360	speG__1	exotoxin G precursor	Streptococcal pyrogenic exotoxin G	CVF158	Streptococcus pyogenes MGAS8232	Superantigen
23790	VFG005149	50915065	emm__1	M protein	M protein	CVF111	Streptococcus pyogenes MGAS10394	Adhesin
23791	VFG005143	71911532	emm__1	M protein	M protein	AI212	Streptococcus pyogenes MGAS5005	Adherence & invasion
23792	VFG005150	94989354	emm__1	M protein	M protein	CVF111	Streptococcus pyogenes MGAS9429	Adhesin
23793	VFG043513	167508979	simA	SiM protein	Fibrinogen binding protein	AI278	Streptococcus iniae str. QMA0076	Adherence & invasion
23794	VFG005244	71911500	sclA__4	collagen-like surface protein A	Streptococcal collagen-like proteins	CVF116	Streptococcus pyogenes MGAS5005	Adhesin
23795	VFG005887	146318220	SSU05_0566	Cps2C	Capsule	CVF186	Streptococcus suis 05ZYH33	Immune evasion and molecular mimicry
23796	VFG005900	146320417	SSU98_0570	Cps2C	Capsule	CVF186	Streptococcus suis 98HAH33	Immune evasion and molecular mimicry
23797	VFG005795	116515376	ply	pneumolysin	Pneumolysin	CVF172	Streptococcus pneumoniae D39	Toxin
23798	VFG005490	15900565	zmpB__3	zinc metalloprotease ZmpB, putative	Zinc metalloproteinases	CVF146	Streptococcus pneumoniae TIGR4	Protease
23799	VFG005148	139474483	emm5	M protein, serotype 5 precursor	Fibrinogen binding protein	AI269	Streptococcus pyogenes str. Manfredo	Adherence & invasion
23800	VFG005147	94995205	emm__2	M protein	M protein	CVF111	Streptococcus pyogenes MGAS10750	Adhesin
23801	VFG005152	71904364	emm__2	emm28 protein	M protein	CVF111	Streptococcus pyogenes MGAS6180	Adhesin
23802	VFG005144	94991293	emm__3	M protein	M protein	CVF111	Streptococcus pyogenes MGAS10270	Adhesin
23803	VFG005153	94991292	enn	M protein	M-like proteins	CVF112	Streptococcus pyogenes MGAS10270	Adhesin
23804	VFG043609	10732857	pblA	PblA	PblA	AI445	Streptococcus mitis SF100	Adherence & invasion
23805	VFG006076	125719004	SSA_2222	Tyrosine-protein kinase Wze, putative	Capsule	CVF186	Streptococcus sanguinis SK36	Immune evasion and molecular mimicry
23806	VFG043009	77408623	SAN_1517	sortase family protein	PI-2b pili	AI137	Streptococcus agalactiae COH1	Adherence & invasion
23807	VFG005934	125718319	rgpC	ABC-type lipopolysaccharide transport system, permease component, putative	Capsule	CVF186	Streptococcus sanguinis SK36	Immune evasion and molecular mimicry
23808	VFG005925	24379282	rgpC	putative polysaccharide ABC transporter, permease protein	Capsule	CVF186	Streptococcus mutans UA159	Immune evasion and molecular mimicry
23809	VFG019071	169832565	lytA	lytic amidase (N-acetylmuramoyl-L-alanine amidase)	Choline-binding proteins	CVF122	Streptococcus pneumoniae Hungary19A-6	Adhesin
23810	VFG005574	19746750	endoS	secreted endoglycosidase	EndoS	CVF152	Streptococcus pyogenes MGAS8232	Exoenzyme
23811	VFG005567	21911104	endoS	putative secreted endoglycosidase	EndoS	CVF152	Streptococcus pyogenes MGAS315	Exoenzyme
23812	VFG005570	139473185	endoS	endoglycosidase (EndoS)	EndoS	CVF152	Streptococcus pyogenes str. Manfredo	Exoenzyme
23813	VFG005565	71911353	endoS	endo-beta-N-acetylglucosaminidase F2 precursor	EndoS	CVF152	Streptococcus pyogenes MGAS5005	Exoenzyme
23814	VFG005564	15675644	endoS	hypothetical protein	EndoS	CVF152	Streptococcus pyogenes M1 GAS	Exoenzyme
23815	VFG019116	182683320	wchA	glucosyl-1-phosphate transferase	Capsule	CVF186	Streptococcus pneumoniae CGSP14	Immune evasion and molecular mimicry
23816	VFG005390	24379444	gtfB	glucosyltransferase-I	Streptococcal glucosyltransferases	CVF133	Streptococcus mutans UA159	Adhesin
23817	VFG005430	50914887	mf3	Streptodornase	Mitogenic factor 3	CVF139	Streptococcus pyogenes MGAS10394	DNase
23818	VFG005397	50914685	sda	Sda	Streptodornase	CVF135	Streptococcus pyogenes MGAS10394	DNase
23819	VFG005402	28895367	sdn	putative sdalpha deoxyribonuclease	Streptodornase	CVF136	Streptococcus pyogenes SSI-1	DNase
23820	VFG005403	50913413	sdn	Sdn	Streptodornase	CVF136	Streptococcus pyogenes MGAS10394	DNase
23821	VFG005691	28895569	speK__1	SpeL precursor	Streptococcal pyrogenic exotoxin K	CVF162	Streptococcus pyogenes SSI-1	Superantigen
23822	VFG019059	169834201	srtC__3	sortase	rlrA islet	CVF121	Streptococcus pneumoniae Hungary19A-6	Adhesin
23823	VFG005532	15904086	htrA/degP	Serine protease	Serine protease	CVF148	Streptococcus pneumoniae R6	Protease
23824	VFG019090	182685175	htrA/degP	serine protease	Serine protease	CVF148	Streptococcus pneumoniae CGSP14	Protease
23825	VFG019102	182684593	psaA__1	manganese ABC transporter, manganese-binding adhesion liprotein	Pneumococcal surface antigen A / Metal binding protein SloC	CVF181	Streptococcus pneumoniae CGSP14	Metal transport
23826	VFG005902	55823028	epsK__2	exopolysaccharide gene claster protein	Capsule	CVF186	Streptococcus thermophilus CNRZ1066	Immune evasion and molecular mimicry
23827	VFG005901	24379280	rgpA	putative RgpAc; glycosyltransferase	Capsule	CVF186	Streptococcus mutans UA159	Immune evasion and molecular mimicry
23828	VFG019040	28896451	psaA__2	putative metal binding protein of ABC transporter (lipoprotein)	Pneumococcal surface antigen A / Metal binding protein SloC	CVF181	Streptococcus pyogenes SSI-1	Metal transport
23829	VFG005583	76787465	hylB	hyaluronate lyase	Hyaluronidase	CVF154	Streptococcus agalactiae A909	Exoenzyme
23830	VFG005584	25011319	hylB	hyaluronate lyase	Hyaluronidase	CVF154	Streptococcus agalactiae NEM316	Exoenzyme
23831	VFG005658	50914087	speA	SpeA variant	Streptococcal pyrogenic exotoxin A	CVF156	Streptococcus pyogenes MGAS10394	Superantigen
23832	VFG005974	55823034	epsF__2	exopolysaccharide biosynthesis protein	Capsule	CVF186	Streptococcus thermophilus CNRZ1066	Immune evasion and molecular mimicry
23833	VFG005363	125717793	sspA__2	surface protein D	Antigen I/II (AgI/II) family of oral streptococcal adhesins	CVF125	Streptococcus sanguinis SK36	Adhesin
23834	VFG018658	157150042	gtfG	glucosyltransferase G	Streptococcal glucosyltransferases	CVF133	Streptococcus gordonii str. Challis substr. CH1	Adhesin
23835	VFG005391	24379445	gtfC	glucosyltransferase-SI	Streptococcal glucosyltransferases	CVF133	Streptococcus mutans UA159	Adhesin
23836	VFG006080	125719005	SSA_2223	Capsular polysaccharide biosynthesis protein Wzd (chain length regulator), putative	Capsule	CVF186	Streptococcus sanguinis SK36	Immune evasion and molecular mimicry
23837	VFG005941	76787453	cpsI__4	capsular polysaccharide biosythesis protein CpsI	Capsule	CVF186	Streptococcus agalactiae A909	Immune evasion and molecular mimicry
23838	VFG005971	146318227	SSU05_0573	Cps2J	Capsule	CVF186	Streptococcus suis 05ZYH33	Immune evasion and molecular mimicry
23839	VFG019083	169833458	iga__2	immunoglobulin A1 protease	IgA1 protease	CVF145	Streptococcus pneumoniae Hungary19A-6	Protease
23840	VFG019084	182684113	iga__2	immunoglobulin A1 protease	IgA1 protease	CVF145	Streptococcus pneumoniae CGSP14	Protease
23841	VFG005485	116516343	iga__1	immunoglobulin A1 protease precursor	IgA1 protease	CVF145	Streptococcus pneumoniae D39	Protease
23842	VFG005486	15901019	iga__1	immunoglobulin A1 protease	IgA1 protease	CVF145	Streptococcus pneumoniae TIGR4	Protease
23843	VFG005698	21911252	smeZ__2	hypothetical protein	Mitogenic exotoxin Z	CVF165	Streptococcus pyogenes MGAS315	Superantigen
23844	VFG005395	146320603	mrp__2	MRP	Muramidase-released protein	CVF134	Streptococcus suis 98HAH33	Adhesin
23845	VFG005659	19745506	speA	exotoxin type A precursor	Streptococcal pyrogenic exotoxin A	CVF156	Streptococcus pyogenes MGAS8232	Superantigen
23846	VFG005655	71910809	speA	enterotoxin	Streptococcal pyrogenic exotoxin A	CVF156	Streptococcus pyogenes MGAS5005	Superantigen
23847	VFG005910	125718317	rgpFc	Lipopolysaccharide biosynthesis protein, putative	Capsule	CVF186	Streptococcus sanguinis SK36	Immune evasion and molecular mimicry
23848	VFG018673	157151529	SGO_1026	rhamnosyltransferase	Capsule	CVF186	Streptococcus gordonii str. Challis substr. CH1	Immune evasion and molecular mimicry
23849	VFG006048	116628171	STER_1432	Lipopolysaccharide biosynthesis protein	Capsule	CVF186	Streptococcus thermophilus LMD-9	Immune evasion and molecular mimicry
23850	VFG006057	55823377	rgpF__2	polysaccharide biosynthesis protein	Capsule	CVF186	Streptococcus thermophilus CNRZ1066	Immune evasion and molecular mimicry
23851	VFG043463	195978855	fnz2	fibronectin-binding protein precursor Fnz2	Fibronectin-binding protein	AI193	Streptococcus equi subsp. zooepidemicus MGCS10565	Adherence & invasion
23852	VFG043460	225871269	fneB	fibronectin-binding protein FneB	Fibronectin-binding protein	AI190	Streptococcus equi subsp. equi 4047	Adherence & invasion
23853	VFG043462	195977458	fnz	fibronectin-binding protein Fnz	Fibronectin-binding protein	AI192	Streptococcus equi subsp. zooepidemicus MGCS10565	Adherence & invasion
23854	VFG005393	24379358	gtfD__2	glucosyltransferase-S	Streptococcal glucosyltransferases	CVF133	Streptococcus mutans UA159	Adhesin
23855	VFG018672	157149885	rgp	glycosyltransferase	Capsule	CVF186	Streptococcus gordonii str. Challis substr. CH1	Immune evasion and molecular mimicry
23856	VFG019052	182683912	pavA	adherence and virulence protein A	Fibronectin-binding protein	CVF113	Streptococcus pneumoniae CGSP14	Adhesin
23857	VFG005197	15902912	pavA	Fibronectin-binding protein-like protein A	Fibronectin-binding protein	AI200	Streptococcus pneumoniae R6	Adherence & invasion
23858	VFG019064	182685128	pspC/cbpA	choline binding protein A	Choline-binding proteins	CVF122	Streptococcus pneumoniae CGSP14	Adhesin
23859	VFG019063	169833022	pspC/cbpA	surface protein PspC	Choline-binding proteins	CVF122	Streptococcus pneumoniae Hungary19A-6	Adhesin
23860	VFG019121	169833414	SPH_0462	putative glycosyl transferase	Capsule	CVF186	Streptococcus pneumoniae Hungary19A-6	Immune evasion and molecular mimicry
23861	VFG006069	55823380	rgpC	polysaccharide ABC transporter membrane-spanning protein	Capsule	CVF186	Streptococcus thermophilus CNRZ1066	Immune evasion and molecular mimicry
23862	VFG006063	116628174	STER_1435	ABC-type polysaccharide/polyol phosphate export system, permease component	Capsule	CVF186	Streptococcus thermophilus LMD-9	Immune evasion and molecular mimicry
23863	VFG018670	157150760	SGO_1023	putative polysaccharide permease protein	Capsule	CVF186	Streptococcus gordonii str. Challis substr. CH1	Immune evasion and molecular mimicry
23864	VFG005778	25010706	cylB__2	hypothetical protein	Beta-hemolysin/cytolysin	CVF171	Streptococcus agalactiae NEM316	Toxin
23865	VFG005389	125717674	srpA__2	Platelet-binding glycoprotein	serine-rich repeat family	AI418	Streptococcus sanguinis SK36	Adherence & invasion
23866	VFG018657	157150914	hsa	streptococcal hemagglutinin	serine-rich repeat family	AI415	Streptococcus gordonii str. Challis substr. CH1	Adherence & invasion
23867	VFG043590	15991793	gspB	platelet binding protein GspB	"serine-rich repeat family, SecA2/SecY2 system"	AI414	Streptococcus gordonii str. M99	Adherence & invasion
23868	VFG019086	182683590	zmpB__1	zinc metalloprotease ZmpB, putative	Zinc metalloproteinases	CVF146	Streptococcus pneumoniae CGSP14	Protease
23869	VFG019085	169833025	zmpB__2	zinc metalloprotease ZmpB	Zinc metalloproteinases	CVF146	Streptococcus pneumoniae Hungary19A-6	Protease
23870	VFG005489	116515780	zmpB__2	zinc metalloprotease ZmpB	Zinc metalloproteinases	CVF146	Streptococcus pneumoniae D39	Protease
23871	VFG005803	76787028	cba__1	IgA-binding beta antigen	Beta C protein	CVF178	Streptococcus agalactiae A909	Immunoreactive antigen
23872	VFG043499	950169	gfbA	group G streptococcal fibronectin binding protein	Fibronectin-binding protein	AI251	Streptococcus sp. 1750	Adherence & invasion
23873	VFG043514	225871286	sem	antiphagocytic cell surface-anchored fibrinogen-and IgG Fc-binding protein SeM	Fibrinogen binding protein	AI279	Streptococcus equi subsp. equi 4047	Adherence & invasion
23874	VFG005839	146318218	SSU05_0564	Cps2A	Capsule	CVF186	Streptococcus suis 05ZYH33	Immune evasion and molecular mimicry
23875	VFG005840	146320414	SSU98_0567	Cps2A	Capsule	CVF186	Streptococcus suis 98HAH33	Immune evasion and molecular mimicry
23876	VFG005211	76788525	fbsA__1	fibrinogen-binding protein, putative	Fibronectin-binding protein	CVF113	Streptococcus agalactiae A909	Adhesin
23877	VFG005802	22536616	rib	surface protein Rib	Rib	CVF177	Streptococcus agalactiae 2603V/R	Immunoreactive antigen
23878	VFG005801	25010541	alp2	hypothetical protein	Alpha-like protein	CVF175	Streptococcus agalactiae NEM316	Immunoreactive antigen
23879	VFG005205	94995202	fbaA__2	Fibronectin-binding protein	Fibronectin-binding protein	CVF113	Streptococcus pyogenes MGAS10750	Adhesin
23880	VFG019039	21909854	psaA__1	putative metal binding protein of ABC transporter	Pneumococcal surface antigen A / Metal binding protein SloC	CVF181	Streptococcus pyogenes MGAS315	Metal transport
23881	VFG005597	146318869	hylA__3	hyaluronidase	Hyaluronidase	CVF154	Streptococcus suis 05ZYH33	Exoenzyme
23882	VFG005394	146318407	mrp__1	MRP	Muramidase-released protein	CVF134	Streptococcus suis 05ZYH33	Adhesin
23883	VFG005294	22537552	SAG1405	sortase family protein	Pilus island 2	CVF120	Streptococcus agalactiae 2603V/R	Adhesin
23884	VFG005320	146319781	cbpD__3	Surface antigen	Choline-binding proteins	CVF122	Streptococcus suis 05ZYH33	Adhesin
23885	VFG018675	157151237	SGO_2024	Extracellular polysaccharide biosynthesis	Capsule	CVF186	Streptococcus gordonii str. Challis substr. CH1	Immune evasion and molecular mimicry
23886	VFG018655	157149904	cshA__2	surface-associated protein CshA	Fibronectin-binding protein	AI194	Streptococcus gordonii str. Challis substr. CH1	Adherence & invasion
23887	VFG005383	125717747	cshA__1	CshA-like fibrillar surface protein C	Cell surface hydrophobicity proteins	CVF131	Streptococcus sanguinis SK36	Adhesin
23888	VFG005385	125717746	cshA__3	CshA-like fibrillar surface protein B	Cell surface hydrophobicity proteins	CVF131	Streptococcus sanguinis SK36	Adhesin
23889	VFG018656	157150842	cshB__1	surface-associated protein CshB	Fibronectin-binding protein	AI195	Streptococcus gordonii str. Challis substr. CH1	Adherence & invasion
23890	VFG005273	19746330	grab__1	GRAB precursor	GRAB	CVF117	Streptococcus pyogenes MGAS8232	Adhesin
23891	VFG005271	94992665	grab__2	Protein G-related alpha 2M-binding protein	GRAB	CVF117	Streptococcus pyogenes MGAS2096	Adhesin
23892	VFG005274	71903763	grab__1	protein G-related alpha 2M-binding protein	GRAB	CVF117	Streptococcus pyogenes MGAS6180	Adhesin
23893	VFG005269	139473601	grab__1	putative surface-anchored protein (protein G-related alpha 2M-binding protein)	GRAB	CVF117	Streptococcus pyogenes str. Manfredo	Adhesin
23894	VFG005266	21910568	grab__1	protein G-related alpha 2M-bindingprotein	GRAB	CVF117	Streptococcus pyogenes MGAS315	Adhesin
23895	VFG005270	50914425	grab__1	Protein G-related alpha 2M-binding protein	GRAB	CVF117	Streptococcus pyogenes MGAS10394	Adhesin
23896	VFG005268	94994601	grab__2	Protein G-related alpha 2M-binding protein	GRAB	CVF117	Streptococcus pyogenes MGAS10750	Adhesin
23897	VFG005384	125717745	cshA__1	CshA-like fibrillar surface protein A	Cell surface hydrophobicity proteins	CVF131	Streptococcus sanguinis SK36	Adhesin
23898	VFG005175	71910553	fbp54__1	fibronectin-binding protein	Fibronectin-binding protein	CVF113	Streptococcus pyogenes MGAS5005	Adhesin
23899	VFG019042	139474305	psaA__1	metal ABC transporter substrate-binding lipoprotein precursor	Pneumococcal surface antigen A / Metal binding protein SloC	CVF181	Streptococcus pyogenes str. Manfredo	Metal transport
23900	VFG019046	19745580	psaA__1	putative metal binding protein of ABC transporter (lipoprotein)	Pneumococcal surface antigen A / Metal binding protein SloC	CVF181	Streptococcus pyogenes MGAS8232	Metal transport
23901	VFG019036	15674573	psaA__1	metal binding protein of ABC transporter (lipoprotein)	Pneumococcal surface antigen A / Metal binding protein SloC	CVF181	Streptococcus pyogenes M1 GAS	Metal transport
23902	VFG043591	119388122	fap1	Fap1	"serine-rich repeat family, SecA2/SecY2 system"	AI416	Streptococcus parasanguinis str. FW213	Adherence & invasion
23903	VFG005282	76788384	SAK_0778	sortase family protein	Pilus island 1	CVF119	Streptococcus agalactiae A909	Adhesin
23904	VFG005287	22536817	SAG0648	sortase family protein	Pilus island 1	CVF119	Streptococcus agalactiae 2603V/R	Adhesin
23905	VFG006084	55821453	rgpC	polysaccharide ABC exporter membrane-spanning protein	Capsule	CVF186	Streptococcus thermophilus LMG 18311	Immune evasion and molecular mimicry
23906	VFG005947	146318225	SSU05_0571	Cps2H	Capsule	CVF186	Streptococcus suis 05ZYH33	Immune evasion and molecular mimicry
23907	VFG005982	125718323	SSA_1512	hypothetical protein	Capsule	CVF186	Streptococcus sanguinis SK36	Immune evasion and molecular mimicry
23908	VFG005725	28896278	sagA__2	putative ABC transporter (ATP-binding protein)	Streptolysin S	CVF168	Streptococcus pyogenes SSI-1	Toxin
23909	VFG005358	15903867	plr/gapA	glyceraldehyde-3-phosphate dehydrogenase	Streptococcal plasmin receptor/GAPDH	CVF123	Streptococcus pneumoniae R6	Adhesin
23910	VFG019078	182684949	plr/gapA	glyceraldehyde-3-phosphate dehydrogenase	Streptococcal plasmin receptor/GAPDH	CVF123	Streptococcus pneumoniae CGSP14	Adhesin
23911	VFG005912	146320418	SSU98_0571	Cps2D	Capsule	CVF186	Streptococcus suis 98HAH33	Immune evasion and molecular mimicry
23912	VFG019109	169832438	SPH_0456	tyrosine-protein phosphatase CpsB	Capsule	CVF186	Streptococcus pneumoniae Hungary19A-6	Immune evasion and molecular mimicry
23913	VFG019110	182683317	wzh	capsular polysaccharide biosynthesis protein Cps14B	Capsule	CVF186	Streptococcus pneumoniae CGSP14	Immune evasion and molecular mimicry
23914	VFG018678	157150889	wzh	wzh/Putative phosphotyrosine-protein phosphatase	Capsule	CVF186	Streptococcus gordonii str. Challis substr. CH1	Immune evasion and molecular mimicry
23915	VFG006024	25011296	cpsB__4	hypothetical protein	Capsule	CVF186	Streptococcus agalactiae NEM316	Immune evasion and molecular mimicry
23916	VFG006044	146318234	SSU05_0580	Acetyltransferase (isoleucine patch superfamily)	Capsule	CVF186	Streptococcus suis 05ZYH33	Immune evasion and molecular mimicry
23917	VFG006020	55823038	epsB__2	exopolysaccharide biosynthesis protein	Capsule	CVF186	Streptococcus thermophilus CNRZ1066	Immune evasion and molecular mimicry
23918	VFG006053	55821123	epsB__2	exopolysaccharide biosynthesis protein	Capsule	CVF186	Streptococcus thermophilus LMG 18311	Immune evasion and molecular mimicry
23919	VFG005860	116516159	cps2B	tyrosine-protein phosphatase CpsB	Capsule	CVF186	Streptococcus pneumoniae D39	Immune evasion and molecular mimicry
23920	VFG006000	116627846	STER_1070	Capsular polysaccharide biosynthesis protein	Capsule	CVF186	Streptococcus thermophilus LMD-9	Immune evasion and molecular mimicry
23921	VFG019124	182683324	wchL	ss-1,3-N-acetylglucosaminyltransferase	Capsule	CVF186	Streptococcus pneumoniae CGSP14	Immune evasion and molecular mimicry
23922	VFG005346	94993624	plr/gapA	Glyceraldehyde 3-phosphate dehydrogenase	Streptococcal plasmin receptor/GAPDH	CVF123	Streptococcus pyogenes MGAS10750	Adhesin
23923	VFG005343	94989742	plr/gapA	Glyceraldehyde 3-phosphate dehydrogenase	Streptococcal plasmin receptor/GAPDH	CVF123	Streptococcus pyogenes MGAS10270	Adhesin
23924	VFG005692	50914331	speK__2	SpeC variant	Streptococcal pyrogenic exotoxin K	CVF162	Streptococcus pyogenes MGAS10394	Superantigen
23925	VFG005987	55821116	eps3	exopolysaccharide biosynthesis protein, glycosyltransferase	Capsule	CVF186	Streptococcus thermophilus LMG 18311	Immune evasion and molecular mimicry
23926	VFG005940	116627841	STER_1064	Glycosyltransferase, family 28	Capsule	CVF186	Streptococcus thermophilus LMD-9	Immune evasion and molecular mimicry
23927	VFG019120	182683322	wchK	ss-1,4-galactosyltransferase	Capsule	CVF186	Streptococcus pneumoniae CGSP14	Immune evasion and molecular mimicry
23928	VFG005965	76787022	SAK_1256	polysaccharide biosynthesis protein CpsG	Capsule	CVF186	Streptococcus agalactiae A909	Immune evasion and molecular mimicry
23929	VFG005966	25011291	cpsG__3	beta-1,4-galactosyltransferase	Capsule	CVF186	Streptococcus agalactiae NEM316	Immune evasion and molecular mimicry
23930	VFG005324	55820544	cbpD__2	cell wall protein precursor, similar to choline binding protein	Choline-binding proteins	CVF122	Streptococcus thermophilus LMG 18311	Adhesin
23931	VFG006027	125718327	SSA_1516	Cell-wall biogenesis glycosyltransferase, putative	Capsule	CVF186	Streptococcus sanguinis SK36	Immune evasion and molecular mimicry
23932	VFG019068	182683357	cbpG	choline binding protein G	Choline-binding proteins	CVF122	Streptococcus pneumoniae CGSP14	Adhesin
23933	VFG005328	15902393	cbpG	Choline binding protein G, truncation	Choline-binding proteins	CVF122	Streptococcus pneumoniae R6	Adhesin
23934	VFG005930	25011288	CpsIaJ	hypothetical protein	Capsule	CVF186	Streptococcus agalactiae NEM316	Immune evasion and molecular mimicry
23935	VFG005929	76788570	SAK_1253	capsular polysaccharide biosynthesis protein CpsJ	Capsule	CVF186	Streptococcus agalactiae A909	Immune evasion and molecular mimicry
23936	VFG044107	15675633	htsA__2	putative ABC transporter periplasmic binding protein	"NEAT-type surface protein, direct heme uptake system"	IA050	Streptococcus pyogenes M1 GAS	Iron and heme acquisition
23937	VFG005838	125717701	rmlD__2	DTDP-L-rhamnose synthase, putative	Capsule	CVF186	Streptococcus sanguinis SK36	Immune evasion and molecular mimicry
23938	VFG005889	24379279	SMU.824	dTDP-4-keto-L-rhamnose reductase	Capsule	CVF186	Streptococcus mutans UA159	Immune evasion and molecular mimicry
23939	VFG018667	157149997	rfbD__2	dTDP-4-dehydrorhamnose reductase	Capsule	CVF186	Streptococcus gordonii str. Challis substr. CH1	Immune evasion and molecular mimicry
23940	VFG019096	182683292	hysA__1	hyaluronidase	Hyaluronidase	CVF154	Streptococcus pneumoniae CGSP14	Exoenzyme
23941	VFG005651	15902330	hysA__1	Hyaluronate lyase precursor (hyaluronidase/hyase)	Hyaluronidase	CVF154	Streptococcus pneumoniae R6	Exoenzyme
23942	VFG006089	116628183	STER_1444	dTDP-4-dehydrorhamnose reductase	Capsule	CVF186	Streptococcus thermophilus LMD-9	Immune evasion and molecular mimicry
23943	VFG005983	146318228	SSU05_0574	Glycosyltransferases involved in cell wall biogenesis	Capsule	CVF186	Streptococcus suis 05ZYH33	Immune evasion and molecular mimicry
23944	VFG005841	24378755	rgpG	putative glycosyl transferase N-acetylglucosaminyltransferase), RgpG	Capsule	CVF186	Streptococcus mutans UA159	Immune evasion and molecular mimicry
23945	VFG043011	77408621	SAN_1515	sortase, putative	PI-2b pili	AI137	Streptococcus agalactiae COH1	Adherence & invasion
